"furniture shop","магазин мебели"
"We in socials", "Мы в соц. сетях"
"Site Design","Дизайн сайта"
"Menu","Меню"
"Contact with us","Связь с нами"
"Sign In","Войти"
"Password","Пароль"
"Forgot Your Password?","Забыли пароль?"
"Register","Зарегистрироваться"
"Reset Password","Восстановить пароль"
"To have your password reset, enter your email address below. We will then send an email containing a link to reset your password.","Чтобы сбросить пароль, введите адрес электронной почты ниже. Затем мы отправим электронное письмо со ссылкой для сброса пароля."
"First Name","Имя"
"Last Name","Фамилия"
"Confirm Password","Повторите пароль"
"Sent Email Successfully!","Письмо отправлено успешно!"
"Failed to Send Email!","Не удалось отправить письмо!"
"We received too many requests for password resets. Please wait and try again later.","Мы получили слишком много запросов на сброс пароля. Пожалуйста, подождите и повторите попытку позже."
"This is a required field.","Это обязательное поле."
"Register Successfully!","Регистрация прошла успешно!"
"Register Failed!","Ошибка регистрации!"
"You have created account successfully.","Вы успешно создали аккаунт."
"A customer with the same email address already exists in an associated website.","Пользователь с этим электронным адресом уже существует."
"Please enter the same value again.","Пожалуйста, введите то же значение снова."
"There is already an account with this email address. If you are sure that it is your email address, <a href='%1'>click here</a> to get your password and access your account.","Уже есть аккаунт с этим адресом электронной почты. Если вы уверены, что это ваш адрес электронной почты, <a href='%1'>нажмите здесь</a>, чтобы получить пароль и получить доступ к своей учетной записи."
"You have signed out and will go to our homepage. Please wait ...","Вы вышли из системы и перейдете на нашу домашнюю страницу. Пожалуйста, подождите ..."
"You have logged in successfully. Please wait ...","Вы успешно вошли в систему. Пожалуйста, подождите ..."
"Invalid login or password.","Неправильный логин или пароль."
"All catalog","Весь каталог"
"More","Подробнее"
"Search","Поиск"
"Latest News","Последние новости"
"ALL","Все"
"BLOG","Блог"
"Categories","Категории"
"Return back","Вернуться"
"News","Новости"
"Home","Главная"
"Show 11 more news","Показать еще 11 новостей"
"There are no posts at this moment","На данный момент в этой категории нет новостей"
"Super Prices","Супер цены"
"Products","Товары"
"Review","Отзыв"
"Reviews","Отзывы"
"Contacts","Контакты"
"Contact us","Связь с нами"
"Telephone","Телефон"
"Comment","Комментарий"
"Send","Отправить"
"You added %1 to your shopping cart.","Вы добавили %1 в Вашу корзину."
"Cart","Корзина"
"You have no items in your shopping cart.","У вас нет товаров в корзине."
"Cart Subtotal","Общая стоимость"
"View Cart","Посмотреть Корзину"
"Continue Shopping","Продолжить Покупки"
"Proceed to Checkout","Оформление заказа"
"Add to Cart","Добавить в корзину"
"You may be interested","Вас могут заинтересовать"
"Factory:","Фабрика:"
"Consists of %1 elements","Состоит из %1 элементов"
"You submitted your review for moderation.","Вы отправили свой отзыв на модерацию."
"Novelty","Новинка"
"Top Selling","Топ продаж"
"Action","Акция"
"In stock","В наличии"
"Out of stock","Нет в наличии"
"%1 products were selected","Подобрано %1 товаров"
"%1-%2 products from %3 were selected","Подобрано %1-%2 товаров из %3"
"Recent Added","Последние добавленые"
"Price - High to Low","Цена - по убыванию"
"Price - Low to High","Цена - по возрастанию"
"Folding:","Раскладной:"
"Niche for linen:","Ниша для белья:"
"Material:","Материал:"
"Color:","Цвет:"
"Product","Продукт"
"Product Code: %1","Код товара: %1"
"About product","О товаре"
"Characteristics","Характеристики"
"Reviews","Отзывы"
"Photo","Фото"
"Video","Видео"
"Delivery","Доставка"
"Furniture assembly instructions","Инструкция по сборке мебели"
"Color (Facade):","Цвет (Фасад):"
"Color (Casing):","Цвет (Корпус):"
"Add to Wish List","В список желаний"
"Width: ","Ширина: "
"Height: ","Высота: "
"Depth: ","Глубина: "
"Load per bed: ","Нагрузка на одно спальное место: "
"No size needed?","Нет нужного размера?"
"Please log in before adding product to your wishlist.","Пожалуйста, войдите в систему, прежде чем добавлять товар в свой список желаний."
"Error","Ошибка"
"Write Review","Написать отзыв"
"Please select one of each of the ratings above.","Пожалуйста, выберите один из рейтингов выше."
"Advantages","Преимущества"
"Disadvantages","Недостатки"
"Send Review","Отправить отзыв"
"Sets","Комплекты"
"Qty","К-во"
"Select modules","Выбрать модули"
"We recommend","Мы рекомендуем"
"Recommend","Рекомендуем"
"Shopping Cart","Корзина"
"Price","Цена"
"Quantity","Количество"
"Total","Всего"
"Subtotal","Предыдущий Итог:"
"Shipping","Доставка"
"Order Total","Всего:"
"Search results for: '%1'","Результаты поиска для: '%1' "
"Search...","Поиск..."
"Search","Поиск"
"Clear All","Удалить все"
"Now Shopping by","Выбранные параметры:"
"-- Please Select --","Выберите цвет..."
"Custom size","Нестандартный размер"
"Width(sm.)","Ширина (см)"
"Length(sm.)","Высота (см)"
"Calculate","Посчитать"
"The size of the mattress should be in the range of %1 to %2 cm","Размер матраса должен быть в диапазоне от %1 до %2 см"
"Price for 1kv.m:","Цена за 1кв.м:"
"Cost of non-standard size:","Стоимость нестандартного размера:"
"Terms of manufacturing","Условия изготовления"
"Production of mattresses of non-standard sizes is carried out at prepayment in the amount of at least <strong>50%</strong> of the value of the goods.","Производство матрасов нестандартных размеров осуществляется при предоплате в размере не менее 50% стоимости товара."
"Your order has been successfully received","Ваш заказ был успешно получен"
"Assembly instructions","Инструкция по сборке мебели"
"Instruction for %1 download.","Инструкция для %1 скачать."
"The assembly instruction for %1 can be viewed and downloaded on our website.","Инструкция по сборке для %1 Вы можете просмотреть и скачать на нашем сайте."
"Instruction %1","Инструкция %1"
"Return to product page","Вернуться на страницу товара"
"Download pdf file","Скачать pdf файл"
"To view the furniture assembly instructions, download the pdf file","Для просмотра инструкции по сборке мебели загрузите pdf файл"
"We'll email you an order confirmation with details and tracking info.","Мы отправим вам письмо с информацией о заказе и данными для отслеживания."
"Your order # is: <span>%1</span>.","Номер вашего заказа: <span>%1</span>."
"Thank you for your purchase!","Спасибо за покупку!"
"Exit","Выход"
"My Account","Моя учётная запись"
"My Orders","Мои заказы"
"My Wish List","Мой список желаний"
"Address Book","Адресная книга"
"Account Information","Данные учётной записи"
"My Product Reviews","Мои отзывы"
"Edit","Редактировать"
"Clear Shopping Cart","Очистить Корзину"
"Update Shopping Cart","Обновить Корзину"
"You have placed no orders.","Вы не оформили ни одного заказа."
"Contact Information","Контактная информация"
"Change Password","Изменить пароль"
"Manage Addresses","Управление адресами"
"Edit Address","Изменить адрес"
"Recent Orders","Последние заказы"
"Order #","№ Заказа"
"Date","Дата"
"Ship To","Пользователь"
"Status","Статус"
"Pending","В очереди"
"View Order","Просмотреть заказ"
"Default Billing Address","Адрес плательщика по умолчанию"
"Default Shipping Address","Адрес доставки по умолчанию"
"View All","Просмотреть все"
"Actions","Действия"
"My Recent Reviews","Мои последние отзывы"
"SKU","Код товара"
"Ordered","Заказано"
"Grand Total","Общая стоимость"
"Product Name","Название товара"
"Shipping Method","Метод доставки"
"Order Information","Информация о заказе"
"Payment Method","Метод оплаты"
"Billing Address","Адрес плательщика"
"Shipping Address","Адрес доставки"
"Order # %1","Заказ # %1"
"Rating","Рейтинг"
"Change Email","Изменить Email"
"Current Password","Текущий пароль"
"New Password","Новый пароль"
"Change Email and Password","Изменить email и пароль"
"Edit Account Information","Редактировать учётную запись"
"Confirm New Password","Подтвердите новый пароль"
"New Password and Confirm New Password values didn't match.","Значения в полях Новый пароль и Подтвердите новый пароль не совпадают."
"Save","Сохранить"
"You saved the account information.","Вы сохранили данные учётной записи."
"Password Strength","Надёжность пароля"
"Minimum length of this field must be equal or greater than %1 symbols. Leading and trailing spaces will be ignored.","Минимальная длина этого поля должна быть равна или больше %1 символов. Пробелы перед и после символов будут проигнорированы."
"Weak","Слабый"
"Medium","Средний"
"Strong","Сильный"
"Very Strong","Очень сильный"
"No Password","Пароль не введён"
"Default Addresses","Адреса по умолчанию"
"Change Billing Address","Изменить адрес плательщика"
"Change Shipping Address","Изменить адрес доставки"
"Additional Address Entries","Дополнительные адреса"
"You have no other address entries in your address book.","В вашей адресной книге нет других адресов."
"Add New Address","Добавить новый адрес"
"Phone Number","Телефон"
"Address","Адрес"
"Street Address","Улица"
"City","Город"
"State/Province","Область"
"Zip/Postal Code","Индекс"
"Country","Страна"
"Use as my default billing address","Использовать в качестве моего адреса плательщика по умолчанию"
"Use as my default shipping address","Использовать в качестве моего адреса доставки по умолчанию"
"Save Address","Сохранить адрес"
"You saved the address.","Вы сохранили адрес."
"Delete Address","Удалить адрес"
"You have no items in your wish list.","В листе пожеланий пусто."
"Cancel","Отменить"
"Add to Wishlist","Добавить"
"Success","Успех"
"You have added this product to your wishlist","Вы добавили этот продукт в свой список желаний"
"Close ","Закрыть "
"View Wishlist","Просмотреть"
"Remove item","Удалить"
"Shipping & Handling","Доставка"
"Already have an account? Click here to login","Вход в кабинет"
"Contact details","Контактная информация"
"Delivery method","Метод доставки"
"Payment Method","Метод оплаты"
"Create account","Создать аккаунт"
"My order","Мой заказ"
"Please specify a shipping method.","Пожалуйста, укажите метод доставки."
"Place Order","Оформить заказ"
"Not yet calculated","Пока не рассчитано"
"Comment","Комментарий"
"Warehouse","Склад"
"To the warehouse","На склад"
"Courier to the address","К двери"
"Warehouse Address","Улица"
"Shipping to","Доставка"
"Please enter a valid email address (Ex: johndoe@domain.com).","Пожалуйста, введите правильный адрес электронной почты (Пример: johndoe@domain.com)."
"Buy","Купить"
"Go to Home Page","На главную"
"Lviv","Львов"
"Other city","Другой город"
"Adding...","Добавление ..."
"Added","Lобавлен"
"You added %1 to your <a href="%2">shopping cart</a>.","Вы добавили %1 в Вашу <a href="%2">корзину</a>."
"product","Товар"
"Recalculate","Пересчитать"
"Feedback","Обратная связь"
"Please enter a valid email address.","Пожалуйста, введите действительный адрес электронной почты."
"We'll call you very soon, wait plese.","Мы позвоним вам в ближайшее время, подождите."
"Days","Дней"
"Hours","Часов"
"Min","Минут"
"Sec","Секунд"
"Action! Remaining time to expire:","Акция! До окончания действия акции осталось:"
"days","Дни"
"Day","День"
"Hour","Час"
"hours","Часа"
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
