"furniture shop","магазин меблів"
"We in socials", "Ми в соц. мережах"
"Site Design","Дизайн сайту"
"Menu","Меню"
"Contact with us","Зв'язок з нами"
"Sign In","Увійти"
"Password","Пароль"
"Forgot Your Password?","Забули пароль?"
"Register","Зареєструватись"
"Reset Password","Відновити пароль"
"To have your password reset, enter your email address below. We will then send an email containing a link to reset your password.","Щоб відновити пароль, введіть нижче свою електронну адресу. Потім ми надішлемо електронний лист із посиланням для скидання пароля."
"First Name","Ім'я"
"Last Name","Прізвище"
"Confirm Password","Повторіть пароль"
"Sent Email Successfully!","Лист відправлено успішно!"
"Failed to Send Email!","Не вдалось відправити лист!"
"We received too many requests for password resets. Please wait and try again later.","Ми отримали занадто багато запитів щодо скидання пароля. Зачекайте та спробуйте пізніше."
"This is a required field.","Це обов'язкове поле."
"Register Successfully!","Реєстрація пройшла успішно!"
"Register Failed!","Помилка реєстрації!"
"You have created account successfully.","Ви успішно створили обліковий запис."
"A customer with the same email address already exists in an associated website.","Користувач з цією електронною адресою вже існує."
"Please enter the same value again.","Введіть ще раз те саме значення."
"There is already an account with this email address. If you are sure that it is your email address, <a href='%1'>click here</a> to get your password and access your account.","Уже є обліковий запис з цією електронною адресою Якщо ви впевнені, що це ваша електронна адреса, <a href='%1'>натисніть тут</a>, щоб отримати пароль і отримати доступ до свого облікового запису."
"You have signed out and will go to our homepage. Please wait ...","Ви вийшли з системи та перейдете на нашу домашню сторінку. Будь ласка, зачекайте ..."
"You have logged in successfully. Please wait ...","Ви успішно увійшли в систему. Будь ласка, зачекайте ..."
"Invalid login or password.","Невірний логін або пароль."
"All catalog","Весь каталог"
"More","Детальніше"
"Search","Пошук"
"Latest News","Останні новини"
"ALL","Всі"
"BLOG","Блог"
"Categories","Категорії"
"Return back","Повернутись"
"News","Новини"
"Home","Головна"
"Show 11 more news","Показати ще 11 новин"
"There are no posts at this moment","На даний момент в цій категорії немає новин"
"Super Prices","Супер ціни"
"Products","Товари"
"Review","Відгук"
"Reviews","Відгуки"
"Contacts","Контакти"
"Contact us","Зв'язок з нами"
"Telephone","Телефон"
"Comment","Коментар"
"Send","Надіслати"
"You added %1 to your shopping cart.","Ви добавили %1 до Вашого кошика."
"Cart","Кошик"
"You have no items in your shopping cart.","У вас немає товарів у кошику."
"Cart Subtotal","Загальна вартість"
"View Cart","Переглянути Кошик"
"Continue Shopping","Продовжити Покупки"
"Proceed to Checkout","Оформлення замовлення"
"Add to Cart","Додати в кошик"
"You may be interested","Вас можуть зацікавити"
"Factory:","Фабрика:"
"Consists of %1 elements","Cкладається з %1 елементів"
"You submitted your review for moderation.","Ви подали свій відгук на модерацію."
"Novelty","Новинка"
"Top Selling","Топ продаж"
"Action","Акція"
"In stock","В наявності"
"Out of stock","Немає в наявності"
"%1 products were selected","Підібрано %1 товарів"
"%1-%2 products from %3 were selected","Підібрано %1-%2 товарів з %3"
"Recent Added","Останні добавлені"
"Price - High to Low","Ціна - по спаданню"
"Price - Low to High","Ціна - по зростанню"
"Folding:","Розкладний:"
"Niche for linen:","Ніша для білизни:"
"Material:","Матеріал:"
"Color:","Колір:"
"Product","Продукт"
"Product Code: %1","Код товару: %1"
"About product","Про товар"
"Characteristics","Характеристики"
"Reviews","Відгуки"
"Photo","Фото"
"Video","Відео"
"Delivery","Доставка"
"Furniture assembly instructions","Інструкція по збірці меблів"
"Color (Facade):","Колір (Фасад):"
"Color (Casing):","Колір (Корпус):"
"Add to Wish List","У список бажань"
"Width: ","Ширина: "
"Height: ","Висота: "
"Depth: ","Глибина: "
"Load per bed: ","Навантаження на одне спальне місце: "
"No size needed?","Немає потрібного розміру?"
"Please log in before adding product to your wishlist.","Будь ласка, залогіньтесь, перш ніж додавати продукт у свій список бажань."
"Error","Помилка"
"Write Review","Написати відгук"
"Please select one of each of the ratings above.","Виберіть одну із вище вказаних оцінок."
"Advantages","Переваги"
"Disadvantages","Недоліки"
"Send Review","Надіслати відгук"
"Sets","Комплекти"
"Qty","К-сть"
"Select modules","Вибрати модулі"
"We recommend","Ми рекомендуємо"
"Recommend","Рекомендуємо"
"Shopping Cart","Кошик"
"Price","Ціна"
"Quantity","Кількість"
"Total","Всього"
"Subtotal","Попередній Підсумок:"
"Shipping","Доставка"
"Order Total","Всього:"
"Search results for: '%1'","Результати пошуку для: '%1' "
"Search...","Пошук..."
"Search","Пошук"
"Clear All","Видалити всі"
"Now Shopping by","Вибрані параметри:"
"-- Please Select --","Виберіть колір..."
"Custom size","Нестандартний розмір"
"Width(sm.)","Ширина (см)"
"Length(sm.)","Висота (см)"
"Calculate","Порахувати"
"The size of the mattress should be in the range of %1 to %2 cm","Розмір матрасу повинен бути в діапазоні від %1 до %2 см"
"Price for 1kv.m:","Ціна за 1кв.м:"
"Cost of non-standard size:","Вартість нестандартного розміру:"
"Terms of manufacturing","Умови виготовлення"
"Production of mattresses of non-standard sizes is carried out at prepayment in the amount of at least <strong>50%</strong> of the value of the goods.","Виробництво матраців нестандартних розмірів здійснюється при передоплаті в розмірі не менше 50% вартості товару."
"Your order has been successfully received","Ваше замовлення успішно отримано"
"Assembly instructions","Інструкція по збірці меблів"
"Instruction for %1 download.","Інструкція для %1 завантажити."
"The assembly instruction for %1 can be viewed and downloaded on our website.","Інструкцію по збірці для %1 Ви можете переглянути та завантажити на нашому сайті."
"Instruction %1","Інструкція %1"
"Return to product page","Повернутись на сторінку товару"
"Download pdf file","Завантажити pdf файл"
