"furniture shop","магазин меблів"
"We in socials", "Ми в соц. мережах"
"Site Design","Дизайн сайту"
"Menu","Меню"
"Contact with us","Зв'язок з нами"
"Sign In","Увійти"
"Password","Пароль"
"Forgot Your Password?","Забули пароль?"
"Register","Зареєструватись"
"Reset Password","Відновити пароль"
"To have your password reset, enter your email address below. We will then send an email containing a link to reset your password.","Щоб відновити пароль, введіть нижче свою електронну адресу. Потім ми надішлемо електронний лист із посиланням для скидання пароля."
"First Name","Ім'я"
"Last Name","Прізвище"
"Confirm Password","Повторіть пароль"
"Sent Email Successfully!","Лист відправлено успішно!"
"Failed to Send Email!","Не вдалось відправити лист!"
"We received too many requests for password resets. Please wait and try again later.","Ми отримали занадто багато запитів щодо скидання пароля. Зачекайте та спробуйте пізніше."
"This is a required field.","Це обов'язкове поле."
"Register Successfully!","Реєстрація пройшла успішно!"
"Register Failed!","Помилка реєстрації!"
"You have created account successfully.","Ви успішно створили обліковий запис."
"A customer with the same email address already exists in an associated website.","Користувач з цією електронною адресою вже існує."
"Please enter the same value again.","Введіть ще раз те саме значення."
"There is already an account with this email address. If you are sure that it is your email address, <a href='%1'>click here</a> to get your password and access your account.","Уже є обліковий запис з цією електронною адресою Якщо ви впевнені, що це ваша електронна адреса, <a href='%1'>натисніть тут</a>, щоб отримати пароль і отримати доступ до свого облікового запису."
"You have signed out and will go to our homepage. Please wait ...","Ви вийшли з системи та перейдете на нашу домашню сторінку. Будь ласка, зачекайте ..."
"Please wait ...","Будь ласка, зачекайте ..."
"You have signed out and will go to our homepage.","Ви вийшли з системи та перейдете на нашу домашню сторінку."
"You have logged in successfully. Please wait ...","Ви успішно увійшли в систему. Будь ласка, зачекайте ..."
"Invalid login or password.","Невірний логін або пароль."
"All catalog","Весь каталог"
"More","Детальніше"
"Search","Пошук"
"Latest News","Останні новини"
"ALL","Всі"
"BLOG","Блог"
"Categories","Категорії"
"Return back","Повернутись"
"News","Новини"
"Home","Головна"
"Show 11 more news","Показати ще 11 новин"
"There are no posts at this moment","На даний момент в цій категорії немає новин"
"Super Prices","Супер ціни"
"Products","Товари"
"Review","Відгук"
"Reviews","Відгуки"
"Contacts","Контакти"
"Contact us","Зв'язок з нами"
"Telephone","Телефон"
"Comment","Коментар"
"Send","Надіслати"
"You added %1 to your shopping cart.","Ви добавили %1 до Вашого кошика."
"Cart","Кошик"
"You have no items in your shopping cart.","У вас немає товарів у кошику."
"Cart Subtotal","Загальна вартість:"
"View Cart","Переглянути Кошик"
"Continue Shopping","Продовжити Покупки"
"Proceed to Checkout","Оформити замовлення"
"Add to Cart","Купити"
"You may be interested","Вас можуть зацікавити"
"Factory:","Фабрика:"
"Consists of %1 elements","Cкладається з %1 елементів"
"You submitted your review for moderation.","Ви подали свій відгук на модерацію."
"Novelty","Новинка"
"Top Selling","Топ продажів"
"Action","Акція"
"In stock","В наявності"
"Out of stock","Немає в наявності"
"%1 products were selected","Підібрано %1 товарів"
"%1-%2 products from %3 were selected","Підібрано %1-%2 товарів з %3"
"Recent Added","Останні добавлені"
"Price - High to Low","Ціна - по спаданню"
"Price - Low to High","Ціна - по зростанню"
"Folding:","Розкладний:"
"Niche for linen:","Ніша для білизни:"
"Material:","Матеріал:"
"Color:","Колір:"
"Checkout as a new customer","Оформити замовлення як новий клієнт"
"Close","Закрити"
"SUM","Сума"
"Website developed by web studio","Сайт розробено веб студією"
"Subscribe to news","Підписатись на новини"
"We are on social networks","Ми в соціальних мережах"
"View all news","Переглянути всі новинки"
"Prev product","Попередній товар"
"Next product","Наступний товар"
"New","Новинка"
"Enter your email address","Введіть свій e-mail"
"Subscribe","Підписатися"
"Recently added product","Нещодавно доданий товар"
"Details","Деталі"
"Edit","Редагувати"
"Remove","Видалити"
"Customer Login","Вхід або реєстрація"
"New Customers","Новенький тут?"
"Registered Customers","Вже зареєстровані?"
"If you have an account, sign in with your email address.","Якщо у вас є акаунт, будь ласка, увійдіть."
"Creating an account has many benefits: check out faster, keep more than one address, track orders and more.","Створення облікового запису має багато переваг: швидше перевіряйте, зберігайте більше однієї адреси, відстежуйте замовлення тощо."
"Create an Account","Реєстрація"
"* Required Fields","* Обов'язкові поля"
"Price","Ціна"
"Shopping Options","Параметри покупки"
"Sort By","Сортувати"
"Position","Позиція"
"Product Name","Назва товару"
"Shop By","Фільтр"
"Category","Категорія"
"Compare Products","Порівняйте товари"
"You have no items to compare.","У вас немає одиниць для порівняння."
"My Wish List","Мої побажання"
"You have no items in your wish list.","У вас немає одиниць в списку побажань."
"Now Shopping by","Обрані параметри"
"Remove This Item","Видалити"
"Clear All","Скинути фільтр"
"Cheaper at first","Від дешевих до дорогих"
"Initially more expensive","Від дорогих до дешевих"
"By rating","За рейтингом"
"SKU","Код товару"
"Reviews %1","Відгуки"
"Add to Wish List","До списку побажань"
"Add to Compare","До порівняння"
"Related product","Рекомендовані товари"
"Size grid","Розмірна сітка"
"Product description","Опис товару"
"Your Rating","Оцінити"
"Nickname","Ім'я"
"Submit Review","Надіслати відгук"
"Contact Us","Контакти"
"Submit","Надіслати"
"Name","Ім'я"
"Phone Number","Телефон"
"What’s on your mind?","Коментар"
"Contact with us","Звязатись з нами"
"* Required fields","* Обовязкові поля"
"Search results for: '%1'","Результати пошуку"
"Shipping Address","Ваші дані"
"Add To Cart","Додати в кошик"
"Exit","Вихід"
"Registration is free and easy!","Реєстрація безкоштовна і проста!"
"Faster order","Швидке замовлення"
"Save multiple shipping addresses","Збереження кількох адрес доставки"
